Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,strain,Library Name,BioSampleModel,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,GEO_Accession (exp),source_name,Host,isolation_source,Genotype,sample_type,collected_by,lat_lon,replicate,treatment,host_disease,isolate,growth_condition,Alias,Broker_name,Description,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,organism,sample_name,SRA_accession,title,Drug_concentration_ug/ml,sample,Time__hours,sra_title (run),Biological_replicate,tissue,genotype/variation,type-material,host_sex,community,Age,dev_stage,sex,Altitude,Biomaterial_provider,growth_phase,Condition,los_status,exposed_to,growth_media,resistance,strain/background,evolved_status,INSDC_center_alias,treated_with,component_organism,host_or_sample_description
SRR7624648,RNA-Seq,150,6732280104,PRJNA483526,SAMN09742708,2775988270,MACQUARIE UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4488551,NextSeq 500,PAIRED,unspecified,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2019-08-30T00:00:00Z,AB5075-UW biofilm channel B2 RNA-Seq,SRP155796,AB5075-UW,B2_RNASeq,Pathogen.cl,Aug-2016,Australia,Oceania,Australia: Sydney,,,Homo sapiens,antibiotic-free biofilm,,,Amahit Penesyan,33.773822 S 151.115822 E,,,Acinetobacter infections,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
SRR7624649,RNA-Seq,150,4295881617,PRJNA483526,SAMN09742709,1766298896,MACQUARIE UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4488550,NextSeq 500,PAIRED,unspecified,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2019-08-30T00:00:00Z,AB5075-UW biofilm channel B3 RNA-Seq,SRP155796,AB5075-UW,B3_RNASeq,Pathogen.cl,Aug-2016,Australia,Oceania,Australia: Sydney,,,Homo sapiens,antibiotic-free biofilm,,,Amahit Penesyan,33.773822 S 151.115822 E,,,Acinetobacter infections,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
SRR7624650,RNA-Seq,150,4742452039,PRJNA483526,SAMN09742706,1984458254,MACQUARIE UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4488549,NextSeq 500,PAIRED,unspecified,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2019-08-30T00:00:00Z,AB5075-UW planktonic P3 RNA-Seq,SRP155796,AB5075-UW,P3_RNASeq,Pathogen.cl,Aug-2016,Australia,Oceania,Australia: Sydney,,,Homo sapiens,planktonic culture,,,Amahit Penesyan,33.773822 S 151.115822 E,,,Acinetobacter infections,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
SRR7624651,RNA-Seq,150,6348378145,PRJNA483526,SAMN09742707,2655514939,MACQUARIE UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4488548,NextSeq 500,PAIRED,unspecified,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2019-08-30T00:00:00Z,AB5075-UW biofilm channel B1 RNA-Seq,SRP155796,AB5075-UW,B1_RNASeq,Pathogen.cl,Aug-2016,Australia,Oceania,Australia: Sydney,,,Homo sapiens,antibiotic-free biofilm,,,Amahit Penesyan,33.773822 S 151.115822 E,,,Acinetobacter infections,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
SRR7624652,RNA-Seq,150,5487774511,PRJNA483526,SAMN09742704,2263943382,MACQUARIE UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4488547,NextSeq 500,PAIRED,unspecified,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2019-08-30T00:00:00Z,AB5075-UW planktonic P1 RNA-Seq,SRP155796,AB5075-UW,P1_RNASeq,Pathogen.cl,Aug-2016,Australia,Oceania,Australia: Sydney,,,Homo sapiens,planktonic culture,,,Amahit Penesyan,33.773822 S 151.115822 E,,,Acinetobacter infections,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
SRR7624653,RNA-Seq,150,6456260369,PRJNA483526,SAMN09742705,2674885711,MACQUARIE UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4488546,NextSeq 500,PAIRED,unspecified,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2019-08-30T00:00:00Z,AB5075-UW planktonic P2 RNA-Seq,SRP155796,AB5075-UW,P2_RNASeq,Pathogen.cl,Aug-2016,Australia,Oceania,Australia: Sydney,,,Homo sapiens,planktonic culture,,,Amahit Penesyan,33.773822 S 151.115822 E,,,Acinetobacter infections,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
SRR6448770,RNA-Seq,202,983161068,PRJNA428284,SAMN08286983,582872615,NANYANG TECHNOLOGICAL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3539747,Illumina HiSeq 2500,PAIRED,PCR,METATRANSCRIPTOMIC,mixed culture,ILLUMINA,2018-04-14T00:00:00Z,18B2,SRP128411,"Acinetobacter baumannii ACICU\, Bacillus subtilis str. 168\, Burkholderia cenocepacia J2315\, Chromobacterium violaceum ATCC12472\, Citrobacter amalonaticus Y19\, Escherichia coli UTI89\, Elizabethkingia meningoseptica FMS-007\, Klebsiella pneumoniae subsp. p...",18B2,Model organism or animal,21-Oct-2015,Singapore,Asia,Singapore,,,,laboratory,,mixed culture,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,missing,missing,missing,multiple species biological replicate 2,Yang Liang,,,,,,,,,,,,
SRR6448771,RNA-Seq,202,1188428620,PRJNA428284,SAMN08286974,612938043,NANYANG TECHNOLOGICAL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3539746,Illumina HiSeq 2500,PAIRED,PCR,METATRANSCRIPTOMIC,mixed culture,ILLUMINA,2018-04-14T00:00:00Z,18planktonic2,SRP128411,"Acinetobacter baumannii ACICU\, Bacillus subtilis str. 168\, Burkholderia cenocepacia J2315\, Chromobacterium violaceum ATCC12472\, Citrobacter amalonaticus Y19\, Escherichia coli UTI89\, Elizabethkingia meningoseptica FMS-007\, Klebsiella pneumoniae subsp. p...",p18CK2,Model organism or animal,21-Oct-2015,Singapore,Asia,Singapore,,,,laboratory,,mixed culture,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,missing,missing,missing,mixed planktonic biological replicate 2,Yang Liang,,,,,,,,,,,,
SRR6448773,RNA-Seq,202,1346497256,PRJNA428284,SAMN08286982,777337570,NANYANG TECHNOLOGICAL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3539744,Illumina HiSeq 2500,PAIRED,PCR,METATRANSCRIPTOMIC,mixed culture,ILLUMINA,2018-04-14T00:00:00Z,18B1,SRP128411,"Acinetobacter baumannii ACICU\, Bacillus subtilis str. 168\, Burkholderia cenocepacia J2315\, Chromobacterium violaceum ATCC12472\, Citrobacter amalonaticus Y19\, Escherichia coli UTI89\, Elizabethkingia meningoseptica FMS-007\, Klebsiella pneumoniae subsp. p...",18B1,Model organism or animal,21-Oct-2015,Singapore,Asia,Singapore,,,,laboratory,,mixed culture,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,missing,missing,missing,multiple species biological replicate 1,Yang Liang,,,,,,,,,,,,
SRR6448774,RNA-Seq,202,1230974466,PRJNA428284,SAMN08286975,637125247,NANYANG TECHNOLOGICAL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3539743,Illumina HiSeq 2500,PAIRED,PCR,METATRANSCRIPTOMIC,mixed culture,ILLUMINA,2018-04-14T00:00:00Z,18planktonic3,SRP128411,"Acinetobacter baumannii ACICU\, Bacillus subtilis str. 168\, Burkholderia cenocepacia J2315\, Chromobacterium violaceum ATCC12472\, Citrobacter amalonaticus Y19\, Escherichia coli UTI89\, Elizabethkingia meningoseptica FMS-007\, Klebsiella pneumoniae subsp. p...",p18CK3,Model organism or animal,21-Oct-2015,Singapore,Asia,Singapore,,,,laboratory,,mixed culture,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,missing,missing,missing,mixed planktonic biological replicate 3,Yang Liang,,,,,,,,,,,,
SRR6448775,RNA-Seq,202,1336955988,PRJNA428284,SAMN08286976,696393303,NANYANG TECHNOLOGICAL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3539742,Illumina HiSeq 2500,PAIRED,PCR,METATRANSCRIPTOMIC,mixed culture,ILLUMINA,2018-04-14T00:00:00Z,18biofilm1,SRP128411,"Acinetobacter baumannii ACICU\, Bacillus subtilis str. 168\, Burkholderia cenocepacia J2315\, Chromobacterium violaceum ATCC12472\, Citrobacter amalonaticus Y19\, Escherichia coli UTI89\, Elizabethkingia meningoseptica FMS-007\, Klebsiella pneumoniae subsp. p...",b18CK1,Model organism or animal,21-Oct-2015,Singapore,Asia,Singapore,,,,laboratory,,mixed culture,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,missing,missing,missing,mixed biofilm biological replicate 1,Yang Liang,,,,,,,,,,,,
SRR6448776,RNA-Seq,202,1317513286,PRJNA428284,SAMN08286973,678380181,NANYANG TECHNOLOGICAL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3539741,Illumina HiSeq 2500,PAIRED,PCR,METATRANSCRIPTOMIC,mixed culture,ILLUMINA,2018-04-14T00:00:00Z,18planktonic1,SRP128411,"Acinetobacter baumannii ACICU\, Bacillus subtilis str. 168\, Burkholderia cenocepacia J2315\, Chromobacterium violaceum ATCC12472\, Citrobacter amalonaticus Y19\, Escherichia coli UTI89\, Elizabethkingia meningoseptica FMS-007\, Klebsiella pneumoniae subsp. p...",p18CK1,Model organism or animal,21-Oct-2015,Singapore,Asia,Singapore,,,,laboratory,,mixed culture,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,missing,missing,missing,mixed planktonic biological replicate 1,Yang Liang,,,,,,,,,,,,
SRR6448777,RNA-Seq,202,1218079392,PRJNA428284,SAMN08286984,729871667,NANYANG TECHNOLOGICAL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3539740,Illumina HiSeq 2500,PAIRED,PCR,METATRANSCRIPTOMIC,mixed culture,ILLUMINA,2018-04-14T00:00:00Z,18B3,SRP128411,"Acinetobacter baumannii ACICU\, Bacillus subtilis str. 168\, Burkholderia cenocepacia J2315\, Chromobacterium violaceum ATCC12472\, Citrobacter amalonaticus Y19\, Escherichia coli UTI89\, Elizabethkingia meningoseptica FMS-007\, Klebsiella pneumoniae subsp. p...",18B3,Model organism or animal,21-Oct-2015,Singapore,Asia,Singapore,,,,laboratory,,mixed culture,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,missing,missing,missing,multiple species biological replicate 3,Yang Liang,,,,,,,,,,,,
SRR6448780,RNA-Seq,202,1216317144,PRJNA428284,SAMN08286977,631416456,NANYANG TECHNOLOGICAL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3539737,Illumina HiSeq 2500,PAIRED,PCR,METATRANSCRIPTOMIC,mixed culture,ILLUMINA,2018-04-14T00:00:00Z,18biofilm2,SRP128411,"Acinetobacter baumannii ACICU\, Bacillus subtilis str. 168\, Burkholderia cenocepacia J2315\, Chromobacterium violaceum ATCC12472\, Citrobacter amalonaticus Y19\, Escherichia coli UTI89\, Elizabethkingia meningoseptica FMS-007\, Klebsiella pneumoniae subsp. p...",b18CK2,Model organism or animal,21-Oct-2015,Singapore,Asia,Singapore,,,,laboratory,,mixed culture,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,missing,missing,missing,mixed biofilm biological replicate 2,Yang Liang,,,,,,,,,,,,
SRR6448781,RNA-Seq,202,1253550996,PRJNA428284,SAMN08286978,654001455,NANYANG TECHNOLOGICAL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3539736,Illumina HiSeq 2500,PAIRED,PCR,METATRANSCRIPTOMIC,mixed culture,ILLUMINA,2018-04-14T00:00:00Z,18biofilm3,SRP128411,"Acinetobacter baumannii ACICU\, Bacillus subtilis str. 168\, Burkholderia cenocepacia J2315\, Chromobacterium violaceum ATCC12472\, Citrobacter amalonaticus Y19\, Escherichia coli UTI89\, Elizabethkingia meningoseptica FMS-007\, Klebsiella pneumoniae subsp. p...",b18CK3,Model organism or animal,21-Oct-2015,Singapore,Asia,Singapore,,,,laboratory,,mixed culture,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,missing,missing,missing,mixed biofilm biological replicate 3,Yang Liang,,,,,,,,,,,,
SRR7140920,RNA-Seq,200,4249938800,PRJNA464389,SAMN09083364,1537629120,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4061768,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2018-11-13T00:00:00Z,GSM3133339,SRP145137,ATCC 17978,,,,,,,GSM3133339,Bacterial culture,,,WT parental strain,,,,,,,,mid-exponential growth in LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7140921,RNA-Seq,200,4323900000,PRJNA464389,SAMN09083364,1575296151,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4061768,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2018-11-13T00:00:00Z,GSM3133339,SRP145137,ATCC 17978,,,,,,,GSM3133339,Bacterial culture,,,WT parental strain,,,,,,,,mid-exponential growth in LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7140922,RNA-Seq,200,3369235000,PRJNA464389,SAMN09083363,1220106338,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4061769,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2018-11-13T00:00:00Z,GSM3133340,SRP145137,ATCC 17978,,,,,,,GSM3133340,Bacterial culture,,,WT parental strain,,,,,,,,mid-exponential growth in LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7140923,RNA-Seq,200,3419234600,PRJNA464389,SAMN09083363,1247159794,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4061769,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2018-11-13T00:00:00Z,GSM3133340,SRP145137,ATCC 17978,,,,,,,GSM3133340,Bacterial culture,,,WT parental strain,,,,,,,,mid-exponential growth in LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7140924,RNA-Seq,200,3144510600,PRJNA464389,SAMN09083362,1134180755,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4061770,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2018-11-13T00:00:00Z,GSM3133341,SRP145137,ATCC 17978,,,,,,,GSM3133341,Bacterial culture,,,WT parental strain,,,,,,,,mid-exponential growth in LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7140925,RNA-Seq,200,3192973400,PRJNA464389,SAMN09083362,1160125062,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4061770,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2018-11-13T00:00:00Z,GSM3133341,SRP145137,ATCC 17978,,,,,,,GSM3133341,Bacterial culture,,,WT parental strain,,,,,,,,mid-exponential growth in LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7140926,RNA-Seq,200,3688468400,PRJNA464389,SAMN09083379,1325607971,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4061771,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2018-11-13T00:00:00Z,GSM3133342,SRP145137,ATCC 17978,,,,,,,GSM3133342,Bacterial culture,,,WT parental strain,,,,,,,,mid-exponential growth in LB; 10 minute exposure to 5 mM H2O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7140927,RNA-Seq,200,3752040600,PRJNA464389,SAMN09083379,1358432029,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4061771,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2018-11-13T00:00:00Z,GSM3133342,SRP145137,ATCC 17978,,,,,,,GSM3133342,Bacterial culture,,,WT parental strain,,,,,,,,mid-exponential growth in LB; 10 minute exposure to 5 mM H2O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7140928,RNA-Seq,200,3206694600,PRJNA464389,SAMN09083378,1163741013,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4061772,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2018-11-13T00:00:00Z,GSM3133343,SRP145137,ATCC 17978,,,,,,,GSM3133343,Bacterial culture,,,WT parental strain,,,,,,,,mid-exponential growth in LB; 10 minute exposure to 5 mM H2O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
